id,yr,SummaryQA,NDVI
20003,2002,2,1118
20003,2010,3,1011
20003,2012,2,737
20003,2013,2,737
20003,2004,2,-146
20003,2009,2,478
20003,2003,2,-201
20003,2006,2,93
20003,2005,2,159
20003,2011,2,12
20003,2008,2,-203
20003,2007,2,378
20003,2012,3,1124
20003,2007,2,52
20003,2010,3,2816
20003,2003,2,-97
20003,2011,2,-170
20003,2005,2,115
20003,2006,3,2996
20003,2009,2,-68
20003,2002,2,-106
20003,2004,3,-210
20003,2008,3,-429
20003,2013,2,148
20003,2012,2,241
20003,2006,2,163
20003,2012,2,547
20003,2008,2,-502
20003,2011,2,-21
20003,2005,2,-282
20003,2009,2,-137
20003,2013,2,813
20003,2002,2,-98
20003,2003,3,372
20003,2010,2,-161
20003,2004,2,-182
20003,2007,2,-114
20003,2005,2,-380
20003,2007,2,25
20003,2006,2,348
20003,2010,2,-90
20003,2013,2,-331
20003,2012,2,115
20003,2002,2,-458
20003,2003,2,-542
20003,2008,2,-579
20003,2004,2,-150
20003,2009,2,497
20003,2011,2,-200
20003,2004,2,-119
20003,2008,2,-313
20003,2013,3,346
20003,2006,2,-228
20003,2007,2,-242
20003,2009,2,-391
20003,2005,2,-96
20003,2010,2,96
20003,2002,2,313
20003,2011,2,-258
20003,2012,2,140
20003,2003,2,-26
20003,2013,2,1244
20003,2004,2,-741
20003,2005,2,-372
20003,2008,2,-720
20003,2007,2,773
20003,2010,2,667
20003,2006,3,83
20003,2009,2,-499
20003,2011,2,-299
20003,2002,3,1850
20003,2012,2,375
20003,2003,2,616
20003,2010,1,5513
20003,2003,2,346
20003,2006,3,1833
20003,2011,2,90
20003,2012,3,2242
20003,2007,3,1542
20003,2004,2,-732
20003,2005,2,-151
20003,2013,1,4806
20003,2002,1,4818
20003,2009,1,4626
20003,2008,2,664
20003,2012,0,4597
20003,2007,1,4177
20003,2011,0,4542
20003,2013,0,4664
20003,2003,0,4622
20003,2008,1,4400
20003,2009,0,4806
20003,2002,0,4889
20003,2010,3,4185
20003,2004,1,4642
20003,2005,0,4750
20003,2006,0,5225
20003,2004,0,4253
20003,2007,0,4695
20003,2002,0,4593
20003,2006,0,5460
20003,2009,0,4874
20003,2010,0,4818
20003,2008,1,5270
20003,2013,1,5810
20003,2003,1,4803
20003,2011,1,4899
20003,2012,1,5220
20003,2005,0,5538
20003,2012,0,5401
20003,2009,0,5738
20003,2002,1,4922
20003,2013,0,5100
20003,2005,0,5349
20003,2007,0,5423
20003,2010,1,5495
20003,2008,0,5329
20003,2011,3,4518
20003,2006,0,5736
20003,2003,0,5550
20003,2004,0,4936
20003,2008,0,5408
20003,2010,0,5369
20003,2013,0,5680
